0	In             	O               	[NA]                	[0]
11	it             	B-PLACE         	[NA]                	[11]
12	and            	O               	[NA]                	[12]
13	discover       	B-MOTION        	[NA]                	[13]
14	a              	O               	[NA]                	[14]
15	clearing       	B-PLACE         	[landmark]          	[35]
16	,              	O               	[NA]                	[16]
17	grown          	O               	[NA]                	[17]
18	mainly         	O               	[NA]                	[18]
19	with           	O               	[NA]                	[19]
20	large          	O               	[NA]                	[20]
21	ferns          	B-SPATIAL_ENTITY	[locatedIn]         	[15]
22	,              	O               	[NA]                	[22]
23	the            	O               	[NA]                	[23]
24	confluence     	O               	[NA]                	[24]
25	point          	B-PLACE         	[trajector]         	[35]
26	is             	O               	[NA]                	[26]
27	however        	O               	[NA]                	[27]
28	still          	O               	[NA]                	[28]
29	approx         	B-MEASURE       	[NA]                	[29]
30	.              	I-MEASURE       	[NA]                	[30]
31	.              	I-MEASURE       	[NA]                	[31]
32	100            	I-MEASURE       	[NA]                	[32]
33	meters         	I-MEASURE       	[NA]                	[33]
34	further        	O               	[NA]                	[34]
35	southwest      	B-SPATIAL_SIGNAL	[NA]                	[35]
36	.              	O               	[NA]                	[36]


0	In             	B-SPATIAL_SIGNAL	[NA]                	[0]
1	the            	O               	[NA]                	[1]
2	top            	B-PLACE         	[landmark]          	[0]
3	there          	O               	[NA]                	[3]
4	are            	O               	[NA]                	[4]
5	even           	O               	[NA]                	[5]
6	completely     	O               	[NA]                	[6]
7	new            	O               	[NA]                	[7]
8	branches       	B-PATH          	[trajector, trajector]	[0, 9]
9	toward         	B-SPATIAL_SIGNAL	[NA]                	[9]
10	to             	O               	[NA]                	[10]
11	the            	O               	[NA]                	[11]
12	confluence     	O               	[NA]                	[12]
13	point          	B-PLACE         	[landmark]          	[9]
14	because        	O               	[NA]                	[14]
15	of             	O               	[NA]                	[15]
16	the            	O               	[NA]                	[16]
17	present        	O               	[NA]                	[17]
18	timber         	O               	[NA]                	[18]
19	work           	O               	[NA]                	[19]
20	!              	O               	[NA]                	[20]


0	Then           	O               	[NA]                	[0]
1	we             	B-SPATIAL_ENTITY	[mover, mover]      	[2, 16]
2	take           	B-MOTION        	[NA]                	[2]
3	the            	O               	[NA]                	[3]
4	way            	B-PATH          	[NA]                	[4]
5	back           	B-MOTION_SIGNAL 	[NA]                	[5]
6	through        	B-MOTION_SIGNAL 	[NA]                	[6]
7	the            	O               	[NA]                	[7]
8	wonderful      	O               	[NA]                	[8]
9	landscape      	B-PLACE         	[NA]                	[9]
10	,              	O               	[NA]                	[10]
11	having         	O               	[NA]                	[11]
12	afterwards     	O               	[NA]                	[12]
13	a              	O               	[NA]                	[13]
14	very           	O               	[NA]                	[14]
15	interesting    	O               	[NA]                	[15]
16	Enduro         	B-MOTION        	[NA]                	[16]
17	week           	O               	[NA]                	[17]
18	with           	O               	[NA]                	[18]
19	many           	B-MEASURE       	[NA]                	[19]
20	beautiful      	I-MEASURE       	[NA]                	[20]
21	Offroad        	I-MEASURE       	[NA]                	[21]
22	kilometers     	I-MEASURE       	[NA]                	[22]
23	.              	O               	[NA]                	[23]


0	After          	O               	[NA]                	[0]
1	several        	O               	[NA]                	[1]
2	attempts       	O               	[NA]                	[2]
3	,              	O               	[NA]                	[3]
4	however        	O               	[NA]                	[4]
5	,              	O               	[NA]                	[5]
6	we             	B-SPATIAL_ENTITY	[mover]             	[8]
7	always         	O               	[NA]                	[7]
8	land           	B-MOTION        	[NA]                	[8]
9	in             	B-MOTION_SIGNAL 	[NA]                	[9]
10	the            	O               	[NA]                	[10]
11	same           	O               	[NA]                	[11]
12	place          	B-PLACE         	[NA]                	[12]
13	:              	O               	[NA]                	[13]
14	Here           	B-PLACE         	[locatedIn]         	[18]
15	is             	O               	[NA]                	[15]
16	the            	O               	[NA]                	[16]
17	confluence     	O               	[NA]                	[17]
18	point          	B-PLACE         	[NA]                	[18]
19	!              	O               	[NA]                	[19]


0	The            	O               	[NA]                	[0]
1	confluence     	O               	[NA]                	[1]
2	point          	B-PLACE         	[NA]                	[2]
3	is             	O               	[NA]                	[3]
4	now            	O               	[NA]                	[4]
5	a              	O               	[NA]                	[5]
6	few            	B-MEASURE       	[NA]                	[6]
7	steps          	I-MEASURE       	[NA]                	[7]
8	from           	O               	[NA]                	[8]
9	here           	B-PLACE         	[NA]                	[9]
10	,              	O               	[NA]                	[10]
11	and            	O               	[NA]                	[11]
12	we             	B-SPATIAL_ENTITY	[mover]             	[13]
13	move           	B-MOTION        	[NA]                	[13]
14	in             	B-MOTION_SIGNAL 	[NA]                	[14]
15	a              	I-MOTION_SIGNAL 	[NA]                	[15]
16	zigzag         	I-MOTION_SIGNAL 	[NA]                	[16]
17	through        	B-MOTION_SIGNAL 	[NA]                	[17]
18	the            	O               	[NA]                	[18]
19	forest         	B-PLACE         	[NA]                	[19]
20	,              	O               	[NA]                	[20]
21	the            	O               	[NA]                	[21]
22	arrow          	B-SPATIAL_ENTITY	[trajector, mover]  	[23, 26]
23	on             	B-SPATIAL_SIGNAL	[NA]                	[23]
24	the            	O               	[NA]                	[24]
25	GPS            	B-SPATIAL_ENTITY	[landmark]          	[23]
26	jumping        	B-MOTION        	[NA]                	[26]
27	again          	O               	[NA]                	[27]
28	and            	O               	[NA]                	[28]
29	again          	O               	[NA]                	[29]
30	around         	B-MOTION_SIGNAL 	[NA]                	[30]
31	.              	O               	[NA]                	[31]


0	We             	B-SPATIAL_ENTITY	[NA]                	[0]
1	take           	O               	[NA]                	[1]
2	a              	O               	[NA]                	[2]
3	few            	O               	[NA]                	[3]
4	pictures       	O               	[NA]                	[4]
5	,              	O               	[NA]                	[5]
6	unfortunately  	O               	[NA]                	[6]
7	without        	O               	[NA]                	[7]
8	the            	O               	[NA]                	[8]
9	hoped-for      	O               	[NA]                	[9]
10	view           	O               	[NA]                	[10]
11	and            	O               	[NA]                	[11]
12	take           	O               	[NA]                	[12]
13	a              	O               	[NA]                	[13]
14	small          	O               	[NA]                	[14]
15	rest           	O               	[NA]                	[15]
16	.              	O               	[NA]                	[16]


0	In             	O               	[NA]                	[0]
1	the            	O               	[NA]                	[1]
2	preceding      	O               	[NA]                	[2]
3	years          	O               	[NA]                	[3]
4	I              	B-SPATIAL_ENTITY	[mover]             	[5]
5	travelled      	B-MOTION        	[NA]                	[5]
6	some           	B-MEASURE       	[NA]                	[6]
7	thousand       	I-MEASURE       	[NA]                	[7]
8	offroad        	I-MEASURE       	[NA]                	[8]
9	kilometers     	I-MEASURE       	[NA]                	[9]
10	in             	B-MOTION_SIGNAL 	[NA]                	[10]
11	Romania        	B-PLACE         	[NA]                	[11]
12	and            	O               	[NA]                	[12]
13	therefore      	O               	[NA]                	[13]
14	we             	B-SPATIAL_ENTITY	[mover]             	[15]
15	take           	B-MOTION        	[NA]                	[15]
16	the            	O               	[NA]                	[16]
17	most           	O               	[NA]                	[17]
18	beautiful      	O               	[NA]                	[18]
19	Enduro         	O               	[NA]                	[19]
20	paths          	B-PATH          	[NA]                	[20]
21	to             	B-MOTION_SIGNAL 	[NA]                	[21]
22	the            	O               	[NA]                	[22]
23	confluence     	O               	[NA]                	[23]
24	point          	B-PLACE         	[NA]                	[24]
25	,              	O               	[NA]                	[25]
26	naturally      	O               	[NA]                	[26]
27	there          	O               	[NA]                	[27]
28	is             	O               	[NA]                	[28]
29	also           	O               	[NA]                	[29]
30	something      	O               	[NA]                	[30]
31	new            	O               	[NA]                	[31]
32	to             	O               	[NA]                	[32]
33	discover       	O               	[NA]                	[33]
34	.              	O               	[NA]                	[34]


0	We             	B-SPATIAL_ENTITY	[mover]             	[3]
1	try            	O               	[NA]                	[1]
2	to             	O               	[NA]                	[2]
3	drive          	B-MOTION        	[NA]                	[3]
4	near           	B-MEASURE       	[NA]                	[4]
5	on             	B-MOTION_SIGNAL 	[NA]                	[5]
6	the            	O               	[NA]                	[6]
7	wood-cutting   	O               	[NA]                	[7]
8	tracks         	B-PATH          	[NA]                	[8]
9	as             	O               	[NA]                	[9]
10	close          	O               	[NA]                	[10]
11	as             	O               	[NA]                	[11]
12	possible       	O               	[NA]                	[12]
13	,              	O               	[NA]                	[13]
14	and            	O               	[NA]                	[14]
15	after          	O               	[NA]                	[15]
16	approx         	O               	[NA]                	[16]
17	.              	O               	[NA]                	[17]


0	I              	B-SPATIAL_ENTITY	[mover]             	[1]
1	drove          	B-MOTION        	[NA]                	[1]
2	through        	B-MOTION_SIGNAL 	[NA]                	[2]
3	this           	O               	[NA]                	[3]
4	road           	O               	[NA]                	[4]
5	section        	B-PATH          	[NA]                	[5]
6	already        	O               	[NA]                	[6]
7	several        	O               	[NA]                	[7]
8	times          	O               	[NA]                	[8]
9	,              	O               	[NA]                	[9]
10	conscious      	O               	[NA]                	[10]
11	that           	O               	[NA]                	[11]
12	it             	B-PATH          	[trajector]         	[16]
13	is             	O               	[NA]                	[13]
14	very           	O               	[NA]                	[14]
15	near           	B-MEASURE       	[NA]                	[15]
16	to             	B-SPATIAL_SIGNAL	[NA]                	[16]
17	the            	O               	[NA]                	[17]
18	confluence     	O               	[NA]                	[18]
19	point          	O               	[NA]                	[19]
20	N              	B-PLACE         	[landmark]          	[16]
21	45°            	I-PLACE         	[NA]                	[21]
22	E              	I-PLACE         	[NA]                	[22]
23	22°            	I-PLACE         	[NA]                	[23]
24	(              	O               	[NA]                	[24]
25	for            	O               	[NA]                	[25]
26	the            	O               	[NA]                	[26]
27	first          	O               	[NA]                	[27]
28	time           	O               	[NA]                	[28]
29	in             	O               	[NA]                	[29]
30	August         	O               	[NA]                	[30]
31	1999           	O               	[NA]                	[31]
32	)              	O               	[NA]                	[32]
33	,              	O               	[NA]                	[33]
34	however        	O               	[NA]                	[34]
35	without        	O               	[NA]                	[35]
36	knowing        	O               	[NA]                	[36]
37	of             	O               	[NA]                	[37]
38	the            	O               	[NA]                	[38]
39	"              	O               	[NA]                	[39]
40	Degree         	O               	[NA]                	[40]
41	Confluence     	O               	[NA]                	[41]
42	Project        	O               	[NA]                	[42]
43	"              	O               	[NA]                	[43]
44	-              	O               	[NA]                	[44]
45	my             	O               	[NA]                	[45]
46	friend         	O               	[NA]                	[46]
47	Ulrich         	O               	[NA]                	[47]
48	Leardi         	O               	[NA]                	[48]
49	told           	O               	[NA]                	[49]
50	me             	B-SPATIAL_ENTITY	[NA]                	[50]
51	of             	O               	[NA]                	[51]
52	it             	O               	[NA]                	[52]
53	.              	O               	[NA]                	[53]


0	We             	B-SPATIAL_ENTITY	[mover]             	[1]
1	bend           	B-MOTION        	[NA]                	[1]
2	off            	B-MOTION_SIGNAL 	[NA]                	[2]
3	on             	B-MOTION_SIGNAL 	[NA]                	[3]
4	the            	O               	[NA]                	[4]
5	forest         	O               	[NA]                	[5]
6	road           	B-PATH          	[NA]                	[6]
7	,              	O               	[NA]                	[7]
8	which          	O               	[NA]                	[8]
9	is             	O               	[NA]                	[9]
10	partly         	O               	[NA]                	[10]
11	freshly        	O               	[NA]                	[11]
12	graded         	O               	[NA]                	[12]
13	.              	O               	[NA]                	[13]


0	2              	O               	[NA]                	[0]
1	hours          	O               	[NA]                	[1]
2	of             	O               	[NA]                	[2]
3	travel         	B-MOTION        	[NA]                	[3]
4	we             	B-SPATIAL_ENTITY	[mover]             	[3]
5	got            	B-MOTION        	[NA]                	[5]
6	the            	O               	[NA]                	[6]
7	motorcycles    	B-SPATIAL_ENTITY	[mover]             	[5]
8	to             	B-MOTION_SIGNAL 	[NA]                	[8]
9	within         	B-MEASURE       	[NA]                	[9]
10	530            	I-MEASURE       	[NA]                	[10]
11	meters         	I-MEASURE       	[NA]                	[11]
12	of             	O               	[NA]                	[12]
13	the            	O               	[NA]                	[13]
14	confluence     	O               	[NA]                	[14]
15	point          	B-PLACE         	[NA]                	[15]
16	.              	O               	[NA]                	[16]


0	Romania        	B-PLACE         	[NA]                	[0]
1	has            	O               	[NA]                	[1]
2	very           	O               	[NA]                	[2]
3	much           	O               	[NA]                	[3]
4	nature         	O               	[NA]                	[4]
5	to             	O               	[NA]                	[5]
6	offer          	O               	[NA]                	[6]
7	,              	O               	[NA]                	[7]
8	the            	O               	[NA]                	[8]
9	hospitality    	O               	[NA]                	[9]
10	of             	O               	[NA]                	[10]
11	the            	O               	[NA]                	[11]
12	people         	B-SPATIAL_ENTITY	[locatedIn]         	[0]
13	is             	O               	[NA]                	[13]
14	terrific       	O               	[NA]                	[14]
15	-              	O               	[NA]                	[15]
16	this           	O               	[NA]                	[16]
17	country        	B-PLACE         	[NA]                	[17]
18	is             	O               	[NA]                	[18]
19	always         	O               	[NA]                	[19]
20	worth          	O               	[NA]                	[20]
21	a              	O               	[NA]                	[21]
22	journey        	O               	[NA]                	[22]
23	!              	O               	[NA]                	[23]


0	We             	B-SPATIAL_ENTITY	[mover, mover]      	[1, 8]
1	dive           	B-MOTION        	[NA]                	[1]
2	again          	O               	[NA]                	[2]
3	into           	B-MOTION_SIGNAL 	[NA]                	[3]
4	the            	O               	[NA]                	[4]
5	hardwood       	O               	[NA]                	[5]
6	forest         	B-PLACE         	[NA]                	[6]
7	and            	O               	[NA]                	[7]
8	cross          	B-MOTION        	[NA]                	[8]
9	a              	O               	[NA]                	[9]
10	further        	O               	[NA]                	[10]
11	,              	O               	[NA]                	[11]
12	deeply         	O               	[NA]                	[12]
13	cut            	O               	[NA]                	[13]
14	brook          	O               	[NA]                	[14]
15	bed            	B-PATH          	[NA]                	[15]
16	.              	O               	[NA]                	[16]


0	We             	B-SPATIAL_ENTITY	[mover]             	[1]
1	cross          	B-MOTION        	[NA]                	[1]
2	a              	O               	[NA]                	[2]
3	light          	O               	[NA]                	[3]
4	hardwood       	O               	[NA]                	[4]
5	forest         	B-PLACE         	[NA]                	[5]
6	and            	O               	[NA]                	[6]
7	a              	O               	[NA]                	[7]
8	deeply         	O               	[NA]                	[8]
9	cut            	O               	[NA]                	[9]
10	brook          	O               	[NA]                	[10]
11	bed            	B-PATH          	[NA]                	[11]
12	.              	O               	[NA]                	[12]


0	Horses         	B-SPATIAL_ENTITY	[NA]                	[0]
1	feasted        	B-NONMOTION_EVENT	[NA]                	[1]
2	nearby         	B-MEASURE       	[NA]                	[2]
3	and            	O               	[NA]                	[3]
4	we             	B-SPATIAL_ENTITY	[trajector]         	[9]
5	enjoyed        	O               	[NA]                	[5]
6	the            	O               	[NA]                	[6]
7	beautiful      	O               	[NA]                	[7]
8	prospect       	O               	[NA]                	[8]
9	in             	B-SPATIAL_SIGNAL	[NA]                	[9]
10	the            	O               	[NA]                	[10]
11	shade          	B-SPATIAL_ENTITY	[landmark]          	[9]
12	of             	O               	[NA]                	[12]
13	shrubs         	O               	[NA]                	[13]
14	–              	O               	[NA]                	[14]
15	after          	O               	[NA]                	[15]
16	having         	O               	[NA]                	[16]
17	taken          	O               	[NA]                	[17]
18	the            	O               	[NA]                	[18]
19	photos         	O               	[NA]                	[19]
20	,              	O               	[NA]                	[20]
21	of             	O               	[NA]                	[21]
22	course         	O               	[NA]                	[22]
23	.              	O               	[NA]                	[23]


0	Finally        	O               	[NA]                	[0]
1	our            	O               	[NA]                	[1]
2	Mitsubishi     	O               	[NA]                	[2]
3	stuck          	O               	[NA]                	[3]
4	and            	O               	[NA]                	[4]
5	we             	O               	[NA]                	[5]
6	had            	O               	[NA]                	[6]
7	much           	O               	[NA]                	[7]
8	trouble        	O               	[NA]                	[8]
9	to             	O               	[NA]                	[9]
10	make           	O               	[NA]                	[10]
11	it             	O               	[NA]                	[11]
12	free           	O               	[NA]                	[12]
13	again          	O               	[NA]                	[13]
14	.              	O               	[NA]                	[14]


0	So             	O               	[NA]                	[0]
1	we             	B-SPATIAL_ENTITY	[NA]                	[1]
2	had            	O               	[NA]                	[2]
3	to             	O               	[NA]                	[3]
4	park           	B-MOTION        	[NA]                	[4]
5	the            	O               	[NA]                	[5]
6	car            	B-SPATIAL_ENTITY	[mover]             	[4]
7	about          	B-MEASURE       	[NA]                	[7]
8	700            	I-MEASURE       	[NA]                	[8]
9	m              	I-MEASURE       	[NA]                	[9]
10	far            	B-SPATIAL_SIGNAL	[NA]                	[10]
11	from           	I-SPATIAL_SIGNAL	[NA]                	[11]
12	N45E23         	B-PLACE         	[landmark]          	[10]
13	at             	B-SPATIAL_SIGNAL	[NA]                	[13]
14	the            	O               	[NA]                	[14]
15	edge           	B-PATH          	[trajector, landmark]	[16, 13]
16	of             	B-SPATIAL_SIGNAL	[NA]                	[16]
17	a              	O               	[NA]                	[17]
18	forest         	B-PLACE         	[landmark]          	[16]
19	.              	O               	[NA]                	[19]


0	But            	O               	[NA]                	[0]
1	soon           	O               	[NA]                	[1]
2	the            	O               	[NA]                	[2]
3	tar            	O               	[NA]                	[3]
4	cover          	O               	[NA]                	[4]
5	ended          	O               	[NA]                	[5]
6	and            	O               	[NA]                	[6]
7	it             	O               	[NA]                	[7]
8	was            	O               	[NA]                	[8]
9	more           	O               	[NA]                	[9]
10	and            	O               	[NA]                	[10]
11	more           	O               	[NA]                	[11]
12	difficult      	O               	[NA]                	[12]
13	to             	O               	[NA]                	[13]
14	drive          	B-MOTION        	[mover]             	[14]
15	.              	O               	[NA]                	[15]


0	According      	O               	[NA]                	[0]
1	to             	O               	[NA]                	[1]
2	many           	O               	[NA]                	[2]
3	boards         	B-SPATIAL_ENTITY	[trajector]         	[4]
4	beside         	B-SPATIAL_SIGNAL	[NA]                	[4]
5	the            	O               	[NA]                	[5]
6	streets        	B-PATH          	[landmark]          	[4]
7	this           	O               	[NA]                	[7]
8	is             	O               	[NA]                	[8]
9	the            	O               	[NA]                	[9]
10	result         	O               	[NA]                	[10]
11	of             	O               	[NA]                	[11]
12	a              	O               	[NA]                	[12]
13	co-operation   	O               	[NA]                	[13]
14	with           	O               	[NA]                	[14]
15	the            	O               	[NA]                	[15]
16	European       	O               	[NA]                	[16]
17	Union          	O               	[NA]                	[17]
18	.              	O               	[NA]                	[18]


0	After          	O               	[NA]                	[0]
1	the            	O               	[NA]                	[1]
2	very           	O               	[NA]                	[2]
3	careful        	O               	[NA]                	[3]
4	return         	O               	[NA]                	[4]
5	trip           	B-MOTION        	[NA]                	[5]
6	down           	B-MOTION_SIGNAL 	[NA]                	[6]
7	to             	B-MOTION_SIGNAL 	[NA]                	[7]
8	Paraul         	B-PLACE         	[NA]                	[8]
9	de             	I-PLACE         	[NA]                	[9]
10	Vale           	I-PLACE         	[NA]                	[10]
11	we             	B-SPATIAL_ENTITY	[mover, mover]      	[5, 12]
12	turned         	B-MOTION        	[NA]                	[12]
13	via            	B-MOTION_SIGNAL 	[NA]                	[13]
14	Godinesti      	B-PLACE         	[NA]                	[14]
15	to             	B-MOTION_SIGNAL 	[NA]                	[15]
16	Baia           	B-PLACE         	[NA]                	[16]
17	de             	I-PLACE         	[NA]                	[17]
18	Arama          	I-PLACE         	[NA]                	[18]
19	and            	O               	[NA]                	[19]
20	Baile          	B-PLACE         	[NA]                	[20]
21	Herculane      	I-PLACE         	[NA]                	[21]
22	.              	O               	[NA]                	[22]


0	The            	O               	[NA]                	[0]
1	roads          	O               	[NA]                	[1]
2	are            	O               	[NA]                	[2]
3	in             	O               	[NA]                	[3]
4	really         	O               	[NA]                	[4]
5	good           	O               	[NA]                	[5]
6	condition      	O               	[NA]                	[6]
7	.              	O               	[NA]                	[7]


0	This           	O               	[NA]                	[0]
1	travel         	B-MOTION        	[mover]             	[1]
2	gave           	O               	[NA]                	[2]
3	wonderful      	O               	[NA]                	[3]
4	views          	O               	[NA]                	[4]
5	into           	O               	[NA]                	[5]
6	the            	O               	[NA]                	[6]
7	Carpates       	B-PATH          	[NA]                	[7]
8	.              	O               	[NA]                	[8]


0	The            	O               	[NA]                	[0]
1	way            	B-PATH          	[trajector]         	[2]
2	through        	B-SPATIAL_SIGNAL	[NA]                	[2]
3	the            	O               	[NA]                	[3]
4	village        	B-PLACE         	[landmark, landmark]	[2, 6]
5	,              	O               	[NA]                	[5]
6	where          	B-SPATIAL_SIGNAL	[NA]                	[6]
7	we             	B-SPATIAL_ENTITY	[NA]                	[7]
8	were           	O               	[NA]                	[8]
9	accompanied    	B-NONMOTION_EVENT	[trajector]         	[6]
10	by             	O               	[NA]                	[10]
11	children       	B-SPATIAL_ENTITY	[NA]                	[11]
12	,              	O               	[NA]                	[12]
13	geese          	B-SPATIAL_ENTITY	[NA]                	[13]
14	,              	O               	[NA]                	[14]
15	chickens       	B-SPATIAL_ENTITY	[NA]                	[15]
16	,              	O               	[NA]                	[16]
17	cows           	B-SPATIAL_ENTITY	[NA]                	[17]
18	,              	O               	[NA]                	[18]
19	sheep          	B-SPATIAL_ENTITY	[NA]                	[19]
20	etc.           	O               	[NA]                	[20]
21	had            	O               	[NA]                	[21]
22	the            	O               	[NA]                	[22]
23	correct        	O               	[NA]                	[23]
24	direction      	O               	[NA]                	[24]
25	.              	O               	[NA]                	[25]


0	Beautiful      	O               	[NA]                	[0]
1	waterfalls     	O               	[NA]                	[1]
2	,              	O               	[NA]                	[2]
3	ravines        	O               	[NA]                	[3]
4	,              	O               	[NA]                	[4]
5	rocks          	O               	[NA]                	[5]
6	,              	O               	[NA]                	[6]
7	wild           	O               	[NA]                	[7]
8	brooks         	O               	[NA]                	[8]
9	and            	O               	[NA]                	[9]
10	passport       	O               	[NA]                	[10]
11	heights        	O               	[NA]                	[11]
12	could          	O               	[NA]                	[12]
13	be             	O               	[NA]                	[13]
14	seen           	O               	[NA]                	[14]
15	and            	O               	[NA]                	[15]
16	we             	O               	[NA]                	[16]
17	ended          	O               	[NA]                	[17]
18	this           	O               	[NA]                	[18]
19	wonderful      	O               	[NA]                	[19]
20	day            	O               	[NA]                	[20]
21	with           	O               	[NA]                	[21]
22	two            	O               	[NA]                	[22]
23	successfully   	O               	[NA]                	[23]
24	visited        	O               	[NA]                	[24]
25	confluences    	B-PLACE         	[NA]                	[25]
26	and            	O               	[NA]                	[26]
27	the            	O               	[NA]                	[27]
28	impressions    	O               	[NA]                	[28]
29	of             	O               	[NA]                	[29]
30	two            	O               	[NA]                	[30]
31	completely     	O               	[NA]                	[31]
32	different      	O               	[NA]                	[32]
33	landscapes     	B-PLACE         	[trajector]         	[34]
34	in             	B-SPATIAL_SIGNAL	[NA]                	[34]
35	Caransebes     	B-PLACE         	[landmark, landmark]	[34, 37]
36	,              	O               	[NA]                	[36]
37	where          	B-SPATIAL_SIGNAL	[NA]                	[37]
38	we             	B-SPATIAL_ENTITY	[mover]             	[39]
39	started        	B-MOTION        	[trajector]         	[37]
40	home           	B-MOTION_SIGNAL 	[NA]                	[40]
41	to             	B-MOTION_SIGNAL 	[NA]                	[41]
42	Tuttlingen     	B-PLACE         	[locatedIn]         	[44]
43	(              	O               	[NA]                	[43]
44	Germany        	B-PLACE         	[NA]                	[44]
45	)              	O               	[NA]                	[45]
46	the            	O               	[NA]                	[46]
47	next           	O               	[NA]                	[47]
48	day            	O               	[NA]                	[48]
49	.              	O               	[NA]                	[49]


0	In             	B-SPATIAL_SIGNAL	[NA]                	[0]
1	the            	O               	[NA]                	[1]
2	village        	B-PLACE         	[landmark]          	[0]
3	Ciuperceni     	B-PLACE         	[NA]                	[3]
4	we             	B-SPATIAL_ENTITY	[mover]             	[5]
5	took           	B-MOTION        	[trajector]         	[0]
6	the            	O               	[NA]                	[6]
7	direction      	B-PATH          	[NA]                	[7]
8	to             	B-MOTION_SIGNAL 	[NA]                	[8]
9	Godinesti      	B-PLACE         	[NA]                	[9]
10	and            	O               	[NA]                	[10]
11	followed       	O               	[NA]                	[11]
12	finally        	O               	[NA]                	[12]
13	we             	B-SPATIAL_ENTITY	[mover]             	[14]
